PermitNum,AppliedDate,PermitType,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,Description
BP2001-13204,2001/11/07,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,WAREHOUSE/OFFICE
BP2000-12097,2000/11/08,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,Temporary Sales Office
BP2001-01589,2001/02/26,Commercial / Multi Family Project,3899 - Community Service Misc.,Commercial,Non-Residential,New,New Building Replacing Existing Security Office - Existing Tenant
BP2001-12248,2001/10/15,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,Antenna
BP2001-07045,2001/06/25,Commercial / Multi Family Project,"5111 - School, Separate",Institutional,Non-Residential,New,Portable
BP2001-08104,2001/07/16,Commercial / Multi Family Project,2404 - Radio/Tv Tower,Industrial,Non-Residential,New,Communications Tower & Equipment Shelter
BP2000-12738,2000/11/28,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New industrial building
BP2001-07901,2001/07/11,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New warehouse / office
BP2001-10000,2001/08/23,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New (temporary tent)
BP2000-13469,2000/12/22,Commercial / Multi Family Project,5302 - Senior Citizen Homes,Institutional,Non-Residential,New,Show Suite
BP2002-01223,2002/02/05,Commercial / Multi Family Project,3611 - Restaurant/Drinking Establishment,Commercial,Non-Residential,New,TEMPORORARY TENT
BP2001-07526,2001/07/03,Commercial / Multi Family Project,3611 - Restaurant/Drinking Establishment,Commercial,Non-Residential,New,Temporary Tent
BP2001-09973,2001/08/23,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Industrial Building
BP2001-14863,2001/12/27,Commercial / Multi Family Project,3199 - Trade/Retail/Wholesale Misc.,Commercial,Non-Residential,New,temporary greenhouse
BP2001-07522,2001/07/03,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,Temporary Tents
BP2001-10637,2001/09/07,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,new building
BP2001-09483,2001/08/13,Commercial / Multi Family Project,2203 - Tower,Industrial,Non-Residential,New,New
BP2001-10065,2001/08/24,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New
BP2001-07079,2001/06/25,Commercial / Multi Family Project,3401 - Bank,Commercial,Non-Residential,New,New temp. building
BP2001-09162,2001/08/03,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,NEW BUILDING (SHELL ONLY)
BP2001-02795,2001/03/28,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New
BP2001-06151,2001/06/05,Commercial / Multi Family Project,3608 - Restaurant,Commercial,Non-Residential,New,5 Temporary Tents (10 x 20)
BP2002-01089,2002/02/01,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,Telecommunication Tower
BP2001-10324,2001/08/30,Commercial / Multi Family Project,3107 - Shopping Centre,Commercial,Non-Residential,New,Commercial Project
BP2001-02510,2001/03/21,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New Retail Store & Signage
BP2001-07521,2001/07/03,Commercial / Multi Family Project,3610 - Drinking Establishment,Commercial,Non-Residential,New,Temporary Tent
BP2001-07046,2001/06/25,Commercial / Multi Family Project,"5111 - School, Separate",Institutional,Non-Residential,New,Portable
BP2001-06379,2001/06/08,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,
BP2001-07054,2001/06/25,Commercial / Multi Family Project,"5111 - School, Separate",Institutional,Non-Residential,New,Portable
BP2001-04464,2001/05/03,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,New
BP2001-02260,2001/03/14,Commercial / Multi Family Project,6303 - Electric System,Government,Non-Residential,New,New Substation
BP2002-02376,2002/03/06,Commercial / Multi Family Project,2203 - Tower,Industrial,Non-Residential,New,New
BP2002-00394,2002/01/14,Commercial / Multi Family Project,3102 - Grocery Store,Commercial,Non-Residential,New,New Comercial Building
BP2001-03095,2001/04/05,Commercial / Multi Family Project,2404 - Radio/Tv Tower,Industrial,Non-Residential,New,Antenna above roof
BP2000-12117,2000/11/09,Commercial / Multi Family Project,3608 - Restaurant,Commercial,Non-Residential,New,New Restaurant w/ Drive-Thru
BP2001-09361,2001/08/10,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,Telus Telecommunicaitons Antenna
BP2001-04489,2001/05/03,Commercial / Multi Family Project,2504 - Greenhouse/Nursery,Industrial,Non-Residential,New,New Trailer
BP2001-09150,2001/08/03,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,New Temporary Sales Office
BP2002-00183,2002/01/08,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,
BP2001-13260,2001/11/08,Commercial / Multi Family Project,3599 - Recreation Misc.,Commercial,Non-Residential,New,New Washroom & Rain Shelter
BP2001-00941,2001/02/05,Commercial / Multi Family Project,"5109 - School, Public",Institutional,Non-Residential,New,Relocation of Classroom and Site Remediation
BP2001-05387,2001/05/22,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,Commercial building and renovations to industrial building
BP2001-07305,2001/06/28,Commercial / Multi Family Project,3599 - Recreation Misc.,Commercial,Non-Residential,New,New
BP2001-06109,2001/06/04,Commercial / Multi Family Project,2203 - Tower,Industrial,Non-Residential,New,Communication Tower & Shelter
BP2001-14467,2001/12/12,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,new project
BP2001-03902,2001/04/24,Commercial / Multi Family Project,3605 - Food Kiosk,Commercial,Non-Residential,New,New Food Kiosk
BP2001-06978,2001/06/22,Commercial / Multi Family Project,5401 - Church,Institutional,Non-Residential,New,New Commercial Building
BP2001-00052,2001/01/04,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,New commercial building
BP2001-06076,2001/06/04,Commercial / Multi Family Project,3303 - Gas Bar,Commercial,Non-Residential,New,New Commercail Building
BP2001-02995,2001/04/03,Commercial / Multi Family Project,3699 - Restaurant/Hotel Misc.,Commercial,Non-Residential,New,Temporary Special Events Tent
BP2001-06254,2001/06/07,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New retail stores and offices
BP2001-07871,2001/07/11,Commercial / Multi Family Project,3611 - Restaurant/Drinking Establishment,Commercial,Non-Residential,New,Temporary tent
BP2001-12478,2001/10/19,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,New
BP2001-14593,2001/12/17,Commercial / Multi Family Project,3608 - Restaurant,Commercial,Non-Residential,New,New
BP2002-02166,2002/02/28,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,Prefab metal equipment shelter for antenna
BP2001-01363,2001/02/16,Commercial / Multi Family Project,3107 - Shopping Centre,Commercial,Non-Residential,New,Neighbourhood Shopping  Centre
BP2001-10962,2001/09/17,Commercial / Multi Family Project,"5111 - School, Separate",Institutional,Non-Residential,New,1 PORTABLE
BP2001-09359,2001/08/10,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,Rooftop Telecommunicaitons Antenna
BP2002-00496,2002/01/17,Commercial / Multi Family Project,3201 - Bulk Storage,Commercial,Non-Residential,New,New Temporary Tent Structure
BP2001-03461,2001/04/12,Commercial / Multi Family Project,3304 - Repair Garage,Commercial,Non-Residential,New,New warehouse and use
BP2001-00005,2001/01/02,Commercial / Multi Family Project,5105 - Day-Care,Institutional,Non-Residential,New,New Daycare Facility
BP2001-12048,2001/10/10,Commercial / Multi Family Project,2382 - Water Pumping Station,Industrial,Non-Residential,New,New Pumphouse
BP2001-04925,2001/05/11,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,Temporary Garden Centre
BP2002-00661,2002/01/22,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,Rooftop Telecommunications Antenna
BP2002-00968,2002/01/30,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,Temporary Garden Tent
BP2001-14396,2001/12/11,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,NEW OFFICE BUILDING
BP2001-06833,2001/06/20,Commercial / Multi Family Project,"5109 - School, Public",Institutional,Non-Residential,New,4 RELOCATABLE CLASSROOMS
BP2001-00900,2001/02/02,Commercial / Multi Family Project,2303 - Bridge (+15),Industrial,Non-Residential,New,New + 15 Across 6 Av
BP2001-14036,2001/11/29,Commercial / Multi Family Project,3203 - Warehouse,Commercial,Non-Residential,New,New Office Warehouse
BP2001-13113,2001/11/06,Commercial / Multi Family Project,3302 - Dealership,Commercial,Non-Residential,New,New Automotive Dealership
BP2001-07309,2001/06/28,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,New
BP2001-14162,2001/12/03,Commercial / Multi Family Project,3510 - Recreation Facility,Commercial,Non-Residential,New,New special event tent
BP2001-00366,2001/01/16,Commercial / Multi Family Project,3508 - Exhibition Building,Commercial,Non-Residential,New,New building
BP2001-13787,2001/11/22,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Industrial Building
BP2001-09355,2001/08/10,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,Rooftop Telecommunicaitons Antenna
BP2001-03450,2001/04/12,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Building
BP2001-12612,2001/10/23,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,Free standing Mono-Pole
BP2001-12721,2001/10/25,Commercial / Multi Family Project,5401 - Church,Institutional,Non-Residential,New,Free Standing Tri-pole
BP2002-01124,2002/02/01,Commercial / Multi Family Project,2109 - Clothing,Industrial,Non-Residential,New,New Building
BP2001-10707,2001/09/10,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Industrial Bldg
BP2001-03549,2001/04/17,Commercial / Multi Family Project,3199 - Trade/Retail/Wholesale Misc.,Commercial,Non-Residential,New,New Commercial Building
BP2001-03315,2001/04/10,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,
BP2001-09810,2001/08/21,Commercial / Multi Family Project,2410 - Transformer,Industrial,Non-Residential,New,Antenna - Telecom
BP2000-12308,2000/11/15,Commercial / Multi Family Project,6308 - Transportation,Government,Non-Residential,New,New construction for public use light rail transit station
BP2001-09695,2001/08/16,Commercial / Multi Family Project,3299 - Storage/Warehouse Misc.,Commercial,Non-Residential,New,New Commercial Storage Shed
BP2001-07051,2001/06/25,Commercial / Multi Family Project,"5111 - School, Separate",Institutional,Non-Residential,New,Portable
BP2001-01956,2001/03/06,Commercial / Multi Family Project,3611 - Restaurant/Drinking Establishment,Commercial,Non-Residential,New,Temporary tent structure
BP2001-02558,2001/03/22,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Industrial Building Warehouse/Office
BP2001-13573,2001/11/16,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Building
BP2001-09809,2001/08/21,Commercial / Multi Family Project,2410 - Transformer,Industrial,Non-Residential,New,Antenna - Telecom
BP2001-14305,2001/12/06,Commercial / Multi Family Project,3401 - Bank,Commercial,Non-Residential,New,New Commercial Building
BP2001-03188,2001/04/06,Commercial / Multi Family Project,6307 - Police,Government,Non-Residential,New,Temporary Tent for Stampede
BP2001-01879,2001/03/02,Commercial / Multi Family Project,"5109 - School, Public",Institutional,Non-Residential,New,Mini School
BP2001-13957,2001/11/27,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,New
BP2001-06891,2001/06/21,Commercial / Multi Family Project,3611 - Restaurant/Drinking Establishment,Commercial,Non-Residential,New,New Restaurant /Drinking Establishment
BP2001-10086,2001/08/24,Commercial / Multi Family Project,"5111 - School, Separate",Institutional,Non-Residential,New,portable
BP2001-13315,2001/11/09,Commercial / Multi Family Project,2404 - Radio/Tv Tower,Industrial,Non-Residential,New,COMMUNICATION ANTENNAE
BP2001-09807,2001/08/21,Commercial / Multi Family Project,2410 - Transformer,Industrial,Non-Residential,New,Antenna - Telecom
BP2001-03256,2001/04/09,Commercial / Multi Family Project,3302 - Dealership,Commercial,Non-Residential,New,
BP2001-02603,2001/03/23,Commercial / Multi Family Project,2203 - Tower,Industrial,Non-Residential,New,New Communication Antenna Equipment Room
BP2001-09998,2001/08/23,Commercial / Multi Family Project,3611 - Restaurant/Drinking Establishment,Commercial,Non-Residential,New,
BP2001-05930,2001/05/31,Commercial / Multi Family Project,3508 - Exhibition Building,Commercial,Non-Residential,New,Five Special Events Tents
BP2001-00937,2001/02/05,Commercial / Multi Family Project,"5109 - School, Public",Institutional,Non-Residential,New,School Portables Removal & Remediation
BP2001-00398,2001/01/17,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,
BP2000-12320,2000/11/15,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Office/Warehouse
BP2001-01169,2001/02/12,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,new whse/mfg & office building
BP2001-01085,2001/02/08,Commercial / Multi Family Project,2303 - Bridge (+15),Industrial,Non-Residential,New,New Plus 15
BP2001-01197,2001/02/13,Commercial / Multi Family Project,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,New,New Industrial Building
BP2001-03626,2001/04/18,Commercial / Multi Family Project,3608 - Restaurant,Commercial,Non-Residential,New,New Building & Use Approval
BP2001-08854,2001/07/31,Commercial / Multi Family Project,2498 - Engineer/Communication Misc.,Industrial,Non-Residential,New,New Telecommunications Tower
BP2001-03740,2001/04/20,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,New two storey office bldg
BP2000-12338,2000/11/16,Commercial / Multi Family Project,2203 - Tower,Industrial,Non-Residential,New,Installation of communications tower & cabinet
BP2000-13481,2000/12/22,Commercial / Multi Family Project,3611 - Restaurant/Drinking Establishment,Commercial,Non-Residential,New,Temporary Event Tent
BP2001-03149,2001/04/06,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Industrial Building
BP2001-08742,2001/07/27,Commercial / Multi Family Project,5115 - University Of Calgary,Institutional,Non-Residential,New,Trailer for Classrooms
BP2001-07041,2001/06/25,Commercial / Multi Family Project,"5111 - School, Separate",Institutional,Non-Residential,New,Portable
BP2001-06077,2001/06/04,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New office/warehouse
BP2001-04736,2001/05/09,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New Building
BP2001-08551,2001/07/25,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,New Communication Antenna
BP2001-05909,2001/05/31,Commercial / Multi Family Project,3508 - Exhibition Building,Commercial,Non-Residential,New,Special Events Tent
BP2001-01853,2001/03/02,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,new building
BP2001-01904,2001/03/05,Commercial / Multi Family Project,3303 - Gas Bar,Commercial,Non-Residential,New,new building for gas bar
BP2001-04652,2001/05/08,Commercial / Multi Family Project,2306 - Parking Garage,Industrial,Non-Residential,New,New Bldg
BP2001-07791,2001/07/10,Commercial / Multi Family Project,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,New,Phase two of new industrial
BP2001-06511,2001/06/12,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New Retail Store
BP2001-13876,2001/11/23,Commercial / Multi Family Project,2308 - Terminal-Air,Industrial,Non-Residential,New,New Air Terminal
BP2001-03648,2001/04/18,Commercial / Multi Family Project,2499 - Engineer/Utility Misc.,Industrial,Non-Residential,New,COMMUNICATIONS TOWER
BP2001-13827,2001/11/22,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,Antenna & Accessory Building
BP2001-01198,2001/02/13,Commercial / Multi Family Project,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,New,New Industrial Building
BP2001-07042,2001/06/25,Commercial / Multi Family Project,"5111 - School, Separate",Institutional,Non-Residential,New,Portable
BP2001-03349,2001/04/11,Commercial / Multi Family Project,"5109 - School, Public",Institutional,Non-Residential,New,New School
BP2001-05283,2001/05/18,Commercial / Multi Family Project,3303 - Gas Bar,Commercial,Non-Residential,New,New
BP2002-01447,2002/02/11,Commercial / Multi Family Project,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,New,New
BP2000-12980,2000/12/05,Commercial / Multi Family Project,"5111 - School, Separate",Institutional,Non-Residential,New,
BP2001-12303,2001/10/16,Commercial / Multi Family Project,3609 - Restaurant - Take-Out (No Seats),Commercial,Non-Residential,New,Commercial Interior Partition & Business Use Confirmation
BP2001-12405,2001/10/18,Commercial / Multi Family Project,"5111 - School, Separate",Institutional,Non-Residential,New,New
BP2001-09367,2001/08/10,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,Rooftop Telecommunicaitons Antenna
BP2001-10207,2001/08/28,Commercial / Multi Family Project,3508 - Exhibition Building,Commercial,Non-Residential,New,New Commercial Building
BP2000-12094,2000/11/08,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,Communications Tower & Building
BP2001-10857,2001/09/13,Commercial / Multi Family Project,3611 - Restaurant/Drinking Establishment,Commercial,Non-Residential,New,3Tent
BP2000-12220,2000/11/13,Commercial / Multi Family Project,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,New,New Industrial Building
BP2002-00607,2002/01/18,Commercial / Multi Family Project,3107 - Shopping Centre,Commercial,Non-Residential,New,New Commercial Building
BP2001-08743,2001/07/27,Commercial / Multi Family Project,5115 - University Of Calgary,Institutional,Non-Residential,New,Trailer for offices
BP2002-06175,2002/05/14,Commercial / Multi Family Project,3508 - Exhibition Building,Commercial,Non-Residential,New,Temporary Tent
BP2001-12977,2001/11/01,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,New
BP2001-11166,2001/09/21,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Commercial Office/Warehouse
BP2002-00886,2002/01/28,Commercial / Multi Family Project,3299 - Storage/Warehouse Misc.,Commercial,Non-Residential,New,New Cold Storage Shed
BP2001-14677,2001/12/19,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,Commercial Project
BP2001-13831,2001/11/22,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,Antenna
BP2002-11627,2002/08/23,Commercial / Multi Family Project,2306 - Parking Garage,Industrial,Non-Residential,New,New
BP2002-10607,2002/08/01,Commercial / Multi Family Project,3303 - Gas Bar,Commercial,Non-Residential,New,New Commercial Building
BP2002-11509,2002/08/21,Commercial / Multi Family Project,3107 - Shopping Centre,Commercial,Non-Residential,New,Retail Commercial Shops
BP2001-12245,2001/10/15,Commercial / Multi Family Project,5401 - Church,Institutional,Non-Residential,New,New building
BP2001-13830,2001/11/22,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,Antenna & Accessory Building
BP2001-08506,2001/07/24,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,Temporary tent
BP2002-02088,2002/02/27,Commercial / Multi Family Project,3203 - Warehouse,Commercial,Non-Residential,New,New storage shed
BP2002-07512,2002/06/06,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,Temporary Tent
BP2002-09921,2002/07/22,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,new buildings (2)
BP2001-11235,2001/09/21,Commercial / Multi Family Project,3399 - Motor-Vehicle Misc.,Commercial,Non-Residential,New,New Commercial Building
BP2002-04196,2002/04/10,Commercial / Multi Family Project,3608 - Restaurant,Commercial,Non-Residential,New,New building
BP2001-10548,2001/09/05,Commercial / Multi Family Project,2382 - Water Pumping Station,Industrial,Non-Residential,New,New Pump Station
BP2001-12672,2001/10/24,Commercial / Multi Family Project,"5111 - School, Separate",Institutional,Non-Residential,New,New portable
BP2002-11821,2002/08/28,Commercial / Multi Family Project,3599 - Recreation Misc.,Commercial,Non-Residential,New,Two Temporary Tents (40x40)
BP2002-00216,2002/01/09,Commercial / Multi Family Project,6199 - Federal/Commercial Misc.,Government,Non-Residential,New,New
BP2002-00677,2002/01/22,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,Warehouse/ Office Building
BP2002-10834,2002/08/08,Commercial / Multi Family Project,3611 - Restaurant/Drinking Establishment,Commercial,Non-Residential,New,Tent
BP2002-01730,2002/02/19,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,temporary sales centre
BP2001-12120,2001/10/12,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,New Telecom Tower
BP2001-12249,2001/10/15,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,Antenna
BP2002-08815,2002/07/02,Commercial / Multi Family Project,3605 - Food Kiosk,Commercial,Non-Residential,New,Tent
BP2001-12613,2001/10/23,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,Communication equipment shelter
BP2002-00368,2002/01/14,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,New
BP2002-00888,2002/01/28,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Industrial Building
BP2002-06937,2002/05/28,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,Temporary Tent
BP2002-04987,2002/04/24,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New
BP2002-06916,2002/05/28,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,New
BP2002-00139,2002/01/07,Commercial / Multi Family Project,2399 - Indust/Utility Misc.,Industrial,Non-Residential,New,New Elect Substation
BP2001-10205,2001/08/28,Commercial / Multi Family Project,3508 - Exhibition Building,Commercial,Non-Residential,New,New
BP2002-12365,2002/09/09,Commercial / Multi Family Project,3301 - Car Wash,Commercial,Non-Residential,New,Truck Wash
BP2002-05329,2002/04/30,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,7 Tents
BP2002-12219,2002/09/05,Commercial / Multi Family Project,6204 - Public Works,Government,Non-Residential,New,New Building
BP2001-14715,2001/12/20,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New retail and office building (first 2 floors)
BP2002-02754,2002/03/13,Commercial / Multi Family Project,3303 - Gas Bar,Commercial,Non-Residential,New,"New underground storage tank, gas pumps & apron"
BP2002-01091,2002/02/01,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,Telecommunication Tower
BP2001-09462,2001/08/13,Commercial / Multi Family Project,"5111 - School, Separate",Institutional,Non-Residential,New,One Portable
BP2002-00029,2002/01/03,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,BP for New Commercial Bldg
BP2001-09152,2001/08/03,Commercial / Multi Family Project,3301 - Car Wash,Commercial,Non-Residential,New,New commercial building
BP2001-10332,2001/08/30,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,New Antenna
BP2001-10458,2001/08/31,Commercial / Multi Family Project,3302 - Dealership,Commercial,Non-Residential,New,New Industrial Bldg
BP2002-00991,2002/01/30,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,New
BP2002-04620,2002/04/18,Commercial / Multi Family Project,3599 - Recreation Misc.,Commercial,Non-Residential,New,8 Event Tents
BP2001-09369,2001/08/10,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,Existing Microcel Telecommunicaitons Antenna
BP2002-09756,2002/07/17,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,Office/Retail/Restaurant/Drinker/Liquor Storel
BP2002-08746,2002/06/28,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,Temporary Sales Trailer
BP2002-06197,2002/05/15,Commercial / Multi Family Project,"5109 - School, Public",Institutional,Non-Residential,New,Addition
BP2002-02233,2002/02/28,Commercial / Multi Family Project,2303 - Bridge (+15),Industrial,Non-Residential,New,New +15 walkway
BP2002-04912,2002/04/23,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Building
BP2002-10375,2002/07/30,Commercial / Multi Family Project,"5111 - School, Separate",Institutional,Non-Residential,New,New Portable (One Unit)
BP2001-09365,2001/08/10,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,Rooftop Telecommunicaitons Antenna
BP2002-12509,2002/09/11,Commercial / Multi Family Project,3302 - Dealership,Commercial,Non-Residential,New,New
BP2002-00933,2002/01/29,Commercial / Multi Family Project,3609 - Restaurant - Take-Out (No Seats),Commercial,Non-Residential,New,Temporary Trailer
BP2001-13045,2001/11/02,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,Addition of rooftop communication shelter
BP2001-08205,2001/07/18,Commercial / Multi Family Project,5302 - Senior Citizen Homes,Institutional,Non-Residential,New,New Retirement Residence
BP2001-12882,2001/10/30,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,New compound
BP2002-01284,2002/02/06,Commercial / Multi Family Project,3506 - Clubhouse,Commercial,Non-Residential,New,New Commercial Building
BP2001-09179,2001/08/07,Commercial / Multi Family Project,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,New,New Manufacturing Building
BP2002-05201,2002/04/26,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Warehouse
BP2002-01470,2002/02/12,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,New Antenna
BP2001-10004,2001/08/23,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,New Commercial
BP2001-14108,2001/11/30,Commercial / Multi Family Project,2408 - Sewage Station,Industrial,Non-Residential,New,
BP2002-06871,2002/05/27,Commercial / Multi Family Project,2115 - Machine Shop,Industrial,Non-Residential,New,Building Permit
BP2001-14587,2001/12/17,Commercial / Multi Family Project,3604 - Cafeteria,Commercial,Non-Residential,New,NEW BUILDING
BP2002-04011,2002/04/08,Commercial / Multi Family Project,2504 - Greenhouse/Nursery,Industrial,Non-Residential,New,New
BP2001-08765,2001/07/30,Commercial / Multi Family Project,5115 - University Of Calgary,Institutional,Non-Residential,New,New Animal Holding Facility
BP2001-08545,2001/07/25,Commercial / Multi Family Project,3799 - Personal Service. Misc.,Commercial,Non-Residential,New,Seven Temporary Tent Structures
BP2001-09356,2001/08/10,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,Rooftop Telecommunicaitons Antenna
BP2001-10340,2001/08/31,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Industrial Bldg
BP2002-05392,2002/04/30,Commercial / Multi Family Project,2352 - Telephone Exchange,Industrial,Non-Residential,New,New Building
BP2001-11896,2001/10/05,Commercial / Multi Family Project,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,New Shed and Antenna
BP2002-11799,2002/08/27,Commercial / Multi Family Project,3107 - Shopping Centre,Commercial,Non-Residential,New,New Neighbourhood Shopping Centre
BP2002-06240,2002/05/15,Commercial / Multi Family Project,5303 - Special Care Facility,Institutional,Non-Residential,New,new special care facility
